title,author,tags,link,source
Building Your Startup: Delivering the Meeting Invitation,Jeff Reifman,Yii,https://code.tutsplus.com/tutorials/building-your-startup-delivering-the-meeting-invitation--cms-23428,Envato Tuts+
"Creating Custom WordPress Administration Pages, Part 1",Tom McFarlin,WordPress Plugins,https://code.tutsplus.com/tutorials/creating-custom-admin-pages-in-wordpress-1--cms-26829,Envato Tuts+
Command-Line WordPress,Tom Whitbread,WordPress,https://code.tutsplus.com/tutorials/command-line-wordpress--cms-25203,Envato Tuts+
Useful *NIX Shell Commands for Web Developers,Anton Bagaiev,DevOps,https://code.tutsplus.com/articles/useful-nix-shell-commands-for-web-developers--cms-26161,Envato Tuts+
Mailgun Delivers a New Reporting Dashboard,Jeff Reifman,Mailgun,https://code.tutsplus.com/tutorials/mailgun-delivers-new-reporting-dashboard--cms-27042,Envato Tuts+
What's New in watchOS 3: Background Tasks,Davis Allie,watchOS,https://code.tutsplus.com/tutorials/whats-new-in-watchos-3-background-tasks--cms-27126,Envato Tuts+
New Course on WordPress Basics: Create a Navigation Menu,Andrew Blackman,WordPress,https://code.tutsplus.com/articles/new-course-on-wordpress-basics-create-a-navigation-menu--cms-27147,Envato Tuts+
Let's Go: Command-Line Programs With Golang,Gigi Sayfan,Go,https://code.tutsplus.com/tutorials/lets-go-command-line-programs-with-golang--cms-26341,Envato Tuts+
How to Create WordPress Pages With Hierarchy and Templates,Rachel McCollin,WordPress,http://code.tutsplus.com/tutorials/how-to-create-content-in-wordpress-with-posts-and-pages--cms-27090,Envato Tuts+
Installing AMP in WordPress,Jeff Reifman,WordPress,https://code.tutsplus.com/tutorials/installing-amp-in-wordpress--cms-26272,Envato Tuts+
Serialization and Deserialization of Python Objects: Part 2,Gigi Sayfan,Python,https://code.tutsplus.com/tutorials/serialization-and-deserialization-of-python-objects-part-2--cms-26184,Envato Tuts+
"Building a WordPress-Powered Front End: Posts, Categories, and Users Controllers",Bilal Shahid,WordPress,https://code.tutsplus.com/tutorials/building-a-wordpress-powered-front-end-posts-categories-and-users-controllers--cms-26119,Envato Tuts+
Android From Scratch: Hardware Sensors,Paul Trebilcox-Ruiz,Android SDK,https://code.tutsplus.com/tutorials/android-from-scratch-hardware-sensors--cms-26985,Envato Tuts+
New Course: Essential WordPress Plugins,Andrew Blackman,WordPress,https://code.tutsplus.com/articles/new-course-essential-wordpress-plugins--cms-27115,Envato Tuts+
Serialization and Deserialization of Python Objects: Part 1,Gigi Sayfan,Python,https://code.tutsplus.com/tutorials/serialization-and-deserialization-of-python-objects-part-1--cms-26183,Envato Tuts+
Optimize Your Mobile Application for Google,Bala Durage Sandamal Siripathi,Android,https://code.tutsplus.com/tutorials/optimize-your-mobile-application-for-google--cms-26780,Envato Tuts+
Non-ActiveRecord Models in Rails 4,Manish Kumar,Ruby,https://code.tutsplus.com/tutorials/non-activerecord-models-in-rails-4--cms-25452,Envato Tuts+
How to Manage Team Projects Better With Quip,Harry Guinness,Project Management,https://business.tutsplus.com/tutorials/manage-team-projects-with-quip--cms-26900,Envato Tuts+
How to Design and Build a Material Design App,Andrew Blackman,Material Design,http://code.tutsplus.com/articles/material-design-design-build--cms-27070,Envato Tuts+
Generating PDFs From HTML With Rails,Pedro Alonso,Ruby,https://code.tutsplus.com/tutorials/generating-pdfs-from-html-with-rails--cms-22918,Envato Tuts+
Bridging React With Other Popular Web Languages,Tom Whitbread,React,https://code.tutsplus.com/tutorials/bridging-react-with-other-popular-web-languages--cms-25205,Envato Tuts+
Envato Turns 10 Today!,Andrew Blackman,News,https://code.tutsplus.com/articles/envato-turns-10-today--cms-27105,Envato Tuts+
"Designing, Wireframing & Prototyping an Android App: Part 2",Jessica Thornsby,Android,http://code.tutsplus.com/tutorials/designing-wireframing-prototyping-an-android-app-part-2--cms-27060,Envato Tuts+
How to Set Up Downloadable Products in OpenCart,Sajal Soni,OpenCart,https://code.tutsplus.com/tutorials/how-to-set-up-downloadable-products-in-opencart--cms-26256,Envato Tuts+
Building a WordPress-Powered Front End: A Custom Directive for Post Listing,Bilal Shahid,WordPress,https://code.tutsplus.com/tutorials/building-a-wordpress-powered-front-end-a-custom-directive-for-post-listing--cms-26117,Envato Tuts+
Let's Go: Object-Oriented Programming in Golang,Gigi Sayfan,Go,https://code.tutsplus.com/tutorials/lets-go-object-oriented-programming-in-golang--cms-26540,Envato Tuts+
New Coffee Break Course: Understanding OAuth,Andrew Blackman,Security,https://code.tutsplus.com/articles/new-coffee-break-course-understanding-oauth--cms-27088,Envato Tuts+
"RSpec Testing for Beginners, Part 3",Ed Wassermann,Rspec,https://code.tutsplus.com/articles/rspec-testing-for-beginners-03--cms-26728,Envato Tuts+
What's New in WordPress 4.6?,Tom McFarlin,WordPress,https://code.tutsplus.com/tutorials/whats-new-in-wordpress-46--cms-27078,Envato Tuts+
Create a Weather App With TypeScript and NativeScript,Wernher-Bel Ancheta,Mobile App,https://code.tutsplus.com/tutorials/create-a-weather-app-with-typescript-and-nativescript--cms-27027,Envato Tuts+
Building a CMS: phpPress,Richard Guay,PHP,https://code.tutsplus.com/tutorials/building-a-cms-phppress--cms-26536,Envato Tuts+
Adding Custom Hooks in WordPress: Custom Filters,Tom McFarlin,WordPress,https://code.tutsplus.com/tutorials/adding-custom-hooks-in-wordpress-custom-filters--cms-26508,Envato Tuts+
How to Merge Two Python Dictionaries,Abder-Rahman Ali,Python,https://code.tutsplus.com/tutorials/how-to-merge-two-python-dictionaries--cms-26230,Envato Tuts+
Android From Scratch: Understanding Android Broadcasts,Ashraff Hathibelagal,Android SDK,https://code.tutsplus.com/tutorials/android-from-scratch-understanding-android-broadcasts--cms-27026,Envato Tuts+
Editing Images in CSS: Combining Techniques,Monty Shokeen,CSS,https://code.tutsplus.com/tutorials/editing-images-in-css-combining-techniques--cms-26061,Envato Tuts+
Create a Custom Caching Adapter in OpenCart,Sajal Soni,OpenCart,https://code.tutsplus.com/tutorials/create-a-custom-caching-adapter-in-opencart--cms-26211,Envato Tuts+
"Building a WordPress-Powered Front End: Bootstrapping, Routing, and Services",Bilal Shahid,WordPress,https://code.tutsplus.com/tutorials/building-a-wordpress-powered-front-end-bootstrapping-routing-and-services--cms-26116,Envato Tuts+
Android From Scratch: Google Play Services,Paul Trebilcox-Ruiz,Android SDK,https://code.tutsplus.com/articles/android-from-scratch-google-play-services--cms-26040,Envato Tuts+
20 Awesome WordPress Social Media Plugins—For Social Sharing,Eric Dye,WordPress,https://code.tutsplus.com/tutorials/20-awesome-wordpress-social-media-plugins-for-social-sharing--cms-26735,Envato Tuts+
New eBooks Available for Subscribers,Andrew Blackman,eBooks,https://code.tutsplus.com/articles/new-ebooks-available-for-subscribers--cms-27037,Envato Tuts+
Building a Simple Shopify App,Eric Davis,Shopify,https://code.tutsplus.com/articles/building-a-simple-shopify-app--cms-26198,Envato Tuts+
Google Play Services: Awareness API,Paul Trebilcox-Ruiz,Android SDK,https://code.tutsplus.com/tutorials/google-play-services-awareness-api--cms-25858,Envato Tuts+
Adding Custom Hooks in WordPress: Custom Actions,Tom McFarlin,WordPress,https://code.tutsplus.com/tutorials/adding-custom-hooks-in-wordpress-custom-actions--cms-26454,Envato Tuts+
How to Become a Web Developer: Learn PHP,Jeremy McPeak,PHP,https://code.tutsplus.com/tutorials/how-to-become-a-web-developer-learn-php--cms-27013,Envato Tuts+
WooCommerce Grouped Products and Attributes - Which to Use?,Rachel McCollin,WordPress,https://code.tutsplus.com/articles/woocommerce-grouped-products-and-attributes-which-to-use--cms-25493,Envato Tuts+
Android From Scratch: Creating Styles and Themes,Ashraff Hathibelagal,Android SDK,https://code.tutsplus.com/tutorials/android-from-scratch-creating-styles-and-themes--cms-26942,Envato Tuts+
"How to Use Map, Filter, & Reduce in JavaScript",Peleke Sengstacke,JavaScript,https://code.tutsplus.com/tutorials/how-to-use-map-filter-reduce-in-javascript--cms-26209,Envato Tuts+
Get Early Access to Envato Elements—and Lock in a Lifetime Discount,Andrew Blackman,News,https://design.tutsplus.com/articles/get-early-access-to-envato-elements-and-a-lifetime-discount--cms-27010,Envato Tuts+
How to Make Changes to Multiple Files Using Python,Abder-Rahman Ali,Python,https://code.tutsplus.com/tutorials/quick-tip-how-to-make-changes-to-multiple-files-within-a-directory-using-python--cms-26452,Envato Tuts+
Editing Images in CSS: Blend Modes,Monty Shokeen,CSS3,https://code.tutsplus.com/tutorials/editing-images-in-css-blend-modes--cms-26058,Envato Tuts+
20 Best WordPress Membership Plugins on CodeCanyon,Eric Dye,WordPress,https://code.tutsplus.com/tutorials/20-best-wordpress-membership-plugins-on-codecanyon--cms-26660,Envato Tuts+
Building a WordPress-Powered Front End: Introduction and Setup,Bilal Shahid,WordPress,https://code.tutsplus.com/tutorials/building-a-wordpress-powered-front-end-introduction-and-setup--cms-26115,Envato Tuts+
Create Your First NativeScript App,Wernher-Bel Ancheta,NativeScript,https://code.tutsplus.com/tutorials/create-your-first-nativescript-app--cms-26957,Envato Tuts+
Take a Free Course on JavaScript Refactoring Techniques,Andrew Blackman,JavaScript,https://code.tutsplus.com/articles/take-a-free-course-on-javascript-refactoring-techniques--cms-27012,Envato Tuts+
"RSpec Testing for Beginners, Part 1",Ed Wassermann,Rspec,https://code.tutsplus.com/articles/rspec-testing-for-beginners-part-1--cms-26716,Envato Tuts+
"RSpec Testing for Beginners, Part 2",Ed Wassermann,Rspec,https://code.tutsplus.com/articles/rspec-testing-for-beginners-02--cms-26720,Envato Tuts+
7 Popular React Courses for JavaScript Developers,Andrew Blackman,React,https://code.tutsplus.com/articles/popular-react-courses-for-javascript-developers--cms-26970,Envato Tuts+
How to Start a Telegram Bot With PHP,Anton Bagaiev,PHP,https://code.tutsplus.com/articles/how-to-start-a-telegram-bot-with-php--cms-26329,Envato Tuts+
Create a Custom Plugin in OpenCart 2.1.x.x: Part Two,Sajal Soni,OpenCart,https://code.tutsplus.com/tutorials/create-a-custom-plugin-in-opencart-21xx-part-two--cms-26170,Envato Tuts+
Create a Custom Shipping Method for WooCommerce,Igor Benić,WooCommerce,https://code.tutsplus.com/tutorials/create-a-custom-shipping-method-for-woocommerce--cms-26098,Envato Tuts+
Create an iMessage App in iOS 10,Davis Allie,iOS SDK,https://code.tutsplus.com/tutorials/create-an-imessage-app-in-ios-10--cms-26870,Envato Tuts+
What Is Hookr for WordPress?,Jeff Reifman,APIs,https://code.tutsplus.com/tutorials/what-is-hookr-for-wordpress--cms-26253,Envato Tuts+
Editing Images in CSS: Filters,Monty Shokeen,CSS3,https://code.tutsplus.com/tutorials/editing-images-in-css-filters--cms-25948,Envato Tuts+
20 Useful Video Plugins Available on CodeCanyon,Eric Dye,WordPress,https://code.tutsplus.com/tutorials/20-useful-video-plugins-available-on-codecanyon--cms-26459,Envato Tuts+
"Designing, Wireframing & Prototyping an Android App: Part 1",Jessica Thornsby,Android,https://code.tutsplus.com/tutorials/designing-wireframing-prototyping-an-android-app-part-1--cms-26860,Envato Tuts+
Alternatives to Amazon's Cloud Services (AWS),Jeff Reifman,Cloud Services,https://code.tutsplus.com/tutorials/alternatives-to-amazons-cloud-services-aws--cms-25409,Envato Tuts+
New Course on the Twig Template Engine for PHP,Andrew Blackman,PHP,https://code.tutsplus.com/articles/new-course-on-the-twig-template-engine-for-php--cms-26974,Envato Tuts+
What Are WordPress Plugins?,Tom McFarlin,WordPress,https://code.tutsplus.com/tutorials/what-are-wordpress-plugins--cms-26270,Envato Tuts+
Create a Custom Plugin in OpenCart 2.1.x.x: Part One,Sajal Soni,OpenCart,https://code.tutsplus.com/tutorials/create-a-custom-plugin-in-opencart-21xx-part-one--cms-26155,Envato Tuts+
Building a REST API With AWS SimpleDB and Node.js,Kyle Davis,Node.js,https://code.tutsplus.com/tutorials/building-a-rest-api-with-aws-simpledb-and-nodejs--cms-26086,Envato Tuts+
An Introduction to Loopj,Pedro Gonzalez Ferrandez,Android Studio,https://code.tutsplus.com/tutorials/an-introduction-to-loopj--cms-26781,Envato Tuts+
How to Share Your Python Packages,Gigi Sayfan,Python,https://code.tutsplus.com/tutorials/how-to-share-your-python-packages--cms-26114,Envato Tuts+
Install and Uninstall Hooks in OpenCart,Sajal Soni,OpenCart,https://code.tutsplus.com/tutorials/install-and-uninstall-hooks-in-opencart--cms-26109,Envato Tuts+
Android From Scratch: Background Operations,Paul Trebilcox-Ruiz,Android SDK,https://code.tutsplus.com/tutorials/android-from-scratch-background-operations--cms-26810,Envato Tuts+
How to Write Your Own Python Packages,Gigi Sayfan,Python,https://code.tutsplus.com/tutorials/how-to-write-your-own-python-packages--cms-26076,Envato Tuts+
Pure.css Offers an Intriguing Alternative to Bootstrap,Jeff Reifman,CSS,https://code.tutsplus.com/tutorials/purecss-offers-an-intriguing-alternative-to-bootstrap--cms-25176,Envato Tuts+
Get Started Building Modern Web Apps With React and Redux,Andrew Burgess,React,https://code.tutsplus.com/tutorials/get-started-building-modern-web-apps-with-react-and-redux--cms-26895,Envato Tuts+
"Cost-Effective Mobile Solutions: Think Small Business, Not Enterprise",Jeff Reifman,Mobile Development,https://code.tutsplus.com/tutorials/cost-effective-mobile-solutions-think-small-business-not-enterprise--cms-26823,Envato Tuts+
New Features in Laravel 5.2,Alireza Rahmani Khalili,Laravel 5,https://code.tutsplus.com/tutorials/new-features-in-laravel-52--cms-26229,Envato Tuts+
Android From Scratch: How to Store Application Data Locally,Ashraff Hathibelagal,Android,https://code.tutsplus.com/tutorials/android-from-scratch-how-to-store-application-data-locally--cms-26853,Envato Tuts+
Rake 301,Ed Wassermann,OOP,https://code.tutsplus.com/articles/rake-301--cms-26282,Envato Tuts+
How to Hand-off Photoshop and Sketch Designs With Sympli,Kezz Bracey,App Development,http://code.tutsplus.com/tutorials/app-ui-design-to-code-via-sympli--cms-26845,Envato Tuts+
New Course: Data Handling With Python,Andrew Blackman,Python,https://code.tutsplus.com/articles/new-course-data-handling-with-python--cms-26902,Envato Tuts+
Kickstart Your iOS Career With These 4 Courses,Andrew Blackman,iOS,https://code.tutsplus.com/articles/kickstart-your-ios-career-with-these-courses--cms-26879,Envato Tuts+
How to Install and Set Up a New WordPress WooCommerce Theme,Eric Dye,WooCommerce,https://code.tutsplus.com/tutorials/how-to-install-and-setup-a-new-wordpress-woocommerce-theme--cms-26846,Envato Tuts+
Running a Business While Keeping Up With Changing Technology,Tom McFarlin,WordPress,https://code.tutsplus.com/tutorials/running-a-business-while-keeping-up-with-changing-technology--cms-26478,Envato Tuts+
20 Useful WordPress eCommerce Plugins Available on CodeCanyon,Eric Dye,WordPress,https://code.tutsplus.com/tutorials/20-useful-wordpress-ecommerce-plugins-available-on-codecanyon--cms-26180,Envato Tuts+
An Introduction to NativeScript,Wernher-Bel Ancheta,Mobile Development,https://code.tutsplus.com/articles/an-introduction-to-nativescript--cms-26771,Envato Tuts+
How to Use Python Packages,Gigi Sayfan,Python,https://code.tutsplus.com/tutorials/how-to-use-python-packages--cms-26000,Envato Tuts+
New Short Course: Write a jQuery Plugin,Andrew Blackman,jQuery,https://code.tutsplus.com/articles/new-short-course-write-a-jquery-plugin--cms-26884,Envato Tuts+
How to Program With Yii2: Uploading Files,Jeff Reifman,Yii,https://code.tutsplus.com/tutorials/how-to-program-with-yii2-uploading-files--cms-23511,Envato Tuts+
Building a Welcome Page for Your WordPress Product: WP Transients API,Ahmad Awais,WordPress,https://code.tutsplus.com/articles/building-a-welcome-page-for-your-wordpress-product-wp-transients-api--cms-26017,Envato Tuts+
How to Use Jscrambler 4 to Protect Your Application's Integrity,Jarkko Laine,JavaScript,https://code.tutsplus.com/tutorials/jscrambler-4--cms-26736,Envato Tuts+
Rails Image Upload Using Dragonfly,Kingsley Silas Chijioke,Ruby,https://code.tutsplus.com/tutorials/rails-image-upload-using-dragonfly--cms-26179,Envato Tuts+
Rake 201,Ed Wassermann,Rake,https://code.tutsplus.com/articles/rake-201--cms-26261,Envato Tuts+
Using Containers With Bluemix DevOps Services,Jeff Reifman,Cloud Services,https://code.tutsplus.com/tutorials/using-containers-with-bluemix-devops-services--cms-26764,Envato Tuts+
How to Determine What to Build With WordPress,Tom McFarlin,WordPress,https://code.tutsplus.com/tutorials/how-to-determine-what-to-build-with-wordpress--cms-26548,Envato Tuts+
How to Create an Xcode Source Editor Extension,Patrick Balestra,Swift,https://code.tutsplus.com/tutorials/how-to-create-an-xcode-source-editor-extension--cms-26772,Envato Tuts+
Introduction to Google DFP: Optimizing Revenue,Jeff Reifman,Google,https://code.tutsplus.com/tutorials/introduction-to-google-dfp-optimizing-revenue--cms-26113,Envato Tuts+
Building a Welcome Page for Your WordPress Product: Introduction,Ahmad Awais,WordPress,https://code.tutsplus.com/articles/building-a-welcome-page-for-your-wordpress-product-introduction--cms-26013,Envato Tuts+
What to Expect From Swift 3,Bart Jacobs,Swift,https://code.tutsplus.com/articles/what-to-expect-from-swift-3--cms-26818,Envato Tuts+
Process Payments With Stripe and Laravel Cashier: HTTP vs. HTTPS,Jason Lewis,Laravel,https://code.tutsplus.com/tutorials/process-payments-with-stripe-and-laravel-cashier-http-vs-https--cms-26805,Envato Tuts+
Securing ASP.NET Web API,Sovit Poudel,C#,https://code.tutsplus.com/tutorials/securing-aspnet-web-api--cms-26012,Envato Tuts+
Rake 101,Ed Wassermann,Ruby,https://code.tutsplus.com/articles/rake-101--cms-26215,Envato Tuts+
Quick Tip: What Is a Metaclass in Python?,Abder-Rahman Ali,Python,https://code.tutsplus.com/tutorials/quick-tip-what-is-a-metaclass-in-python--cms-26016,Envato Tuts+
Templating With Jinja2 in Flask: Date and Time Formatting With moment.js,Shalabh Aggarwal,Python,https://code.tutsplus.com/tutorials/templating-with-jinja2-in-flask-date-and-time-formatting-with-momentjs--cms-25813,Envato Tuts+
New Course: Unit Testing React Components,Andrew Blackman,React,https://code.tutsplus.com/articles/new-course-unit-testing-react-components--cms-26807,Envato Tuts+
"Internationalizing WordPress Projects: A Practical Example, Part 1",Tom McFarlin,WordPress,https://code.tutsplus.com/tutorials/internationalizing-wordpress-projects-a-practical-example-part-1--cms-26676,Envato Tuts+
An Introduction to Android Firmware,Ashraff Hathibelagal,Android,https://code.tutsplus.com/articles/an-introduction-to-android-firmware--cms-26791,Envato Tuts+
20 Useful PHP Frameworks Available on CodeCanyon,Eric Dye,PHP,https://code.tutsplus.com/tutorials/20-useful-php-frameworks-available-on-codecanyon--cms-26265,Envato Tuts+
Migration to Magento 2: Migrating the Site,Anwar Haq,Magento,https://code.tutsplus.com/articles/migration-to-magento-2-migrating-the-site--cms-25988,Envato Tuts+
What's New in Xcode 8,Bart Jacobs,Xcode,https://code.tutsplus.com/articles/whats-new-in-xcode-8--cms-26799,Envato Tuts+
Counting Word Frequency in a File Using Python,Abder-Rahman Ali,Python,https://code.tutsplus.com/tutorials/counting-word-frequency-in-a-file-using-python--cms-25965,Envato Tuts+
Quick Tip: How to Read Extremely Large Text Files Using Python,Abder-Rahman Ali,Python,https://code.tutsplus.com/tutorials/quick-tip-how-to-read-extremely-large-text-files-using-python--cms-25992,Envato Tuts+
Android From Scratch: How to Use Resources In an Application,Paul Trebilcox-Ruiz,Android,https://code.tutsplus.com/tutorials/android-from-scratch-how-to-use-resources-in-an-application--cms-26041,Envato Tuts+
4 Practical Laravel Courses for PHP Developers,Andrew Blackman,PHP,https://code.tutsplus.com/articles/practical-laravel-courses-for-php-developers--cms-26732,Envato Tuts+
Internationalizing WordPress Projects: The Introduction,Tom McFarlin,WordPress,https://code.tutsplus.com/tutorials/internationalizing-wordpress-projects-the-introduction--cms-26636,Envato Tuts+
New Coffee Break Course on the WordPress Theme Template Hierarchy,Andrew Blackman,WordPress,https://webdesign.tutsplus.com/articles/wordpress-theme-template-hierarchy--cms-26777,Envato Tuts+
Using JSX and React,Tom Whitbread,React,https://code.tutsplus.com/tutorials/using-jsx-and-react--cms-25131,Envato Tuts+
